LIFNR,KTOKK,STKZN,NAME1,SORT1,STCD1,STCD2,LAND1,REGIO,ORT01,STRAS,TELF1,SMTP_ADDR,BRSCH,ZZ_TIPO_SOC,LOEVM,ERDAT
0000500050,ZLIE,,Garzón-Velásquez S.A.,GARZÓN-VELÁSQUEZ,873529346-2,,CO,ANT,05001,Cr. 44 # 86-6,6018867713,proveedores@garzón-velásquez.test,I551,SA,,2022-01-15
0000500051,ZLIE,,Gómez-Hernández S.A.,GÓMEZ-HERNÁNDEZ,833633020-6,,CO,CUN,25286,Cr. 62 # 81-33,6015751237,proveedores@gómez-hernández.test,K649,SA,,2022-01-15
0000500052,ZLIE,,Zambrano-Muñoz S.A.,ZAMBRANO-MUÑOZ,858445380-7,,CO,CUN,25754,Av. calle 56 # 99P-45 Sur,6014492375,proveedores@zambrano-muñoz.test,K649,SA,,2022-01-15
0000500053,ZLIE,,Rivera PLC Ltda.,RIVERA PLC,871686518-7,,CO,ANT,05001,Carrera 42 # 49V-9 Sur,6014357449,proveedores@rivera.test,I551,LTDA,,2022-01-15
0000500054,ZLIE,,Vásquez Group Ltda.,VÁSQUEZ GROUP,890406129-4,,CO,BOG,11001,Calle 128 # 16-6,6016861895,proveedores@vásquez.test,I551,LTDA,,2022-01-15
0000500055,ZLIE,,Guerrero Alzate and Contreras S.A.S.,GUERRERO ALZATE AND CONTRERAS,895449340-5,,CO,CUN,25754,Cl. 23 # 6Q-90 Sur,6017965040,proveedores@guerrero.test,Q861,SAS,,2022-01-15
0000500056,ZLIE,,Salazar García and Pineda S.A.S.,SALAZAR GARCÍA AND PINEDA,872136322-5,,CO,VAL,76001,Avenida carrera 1ª # 3-3 Este,6011581198,proveedores@salazar.test,K649,SAS,,2022-01-15
0000500057,ZLIE,,Caicedo Guerrero and Pérez S.A.S.,CAICEDO GUERRERO AND PÉREZ,837453657-9,,CO,CUN,25754,Avenida calle 2ª # 5-4,6016604701,proveedores@caicedo.test,P852,SAS,,2022-01-15
0000500058,ZLIE,,Paz-Bastidas S.A.,PAZ-BASTIDAS,833336003-7,,CO,VAL,76001,Cl. 54 # 22-54 Sur,6015268844,proveedores@paz-bastidas.test,K649,SA,,2022-01-15
0000500059,ZLIE,,Herrera Inc S.A.S.,HERRERA INC,818629761-5,,CO,CUN,25286,Cr. 2ª # 8Z-8 Este,6015688160,proveedores@herrera.test,G471,SAS,,2022-01-15
0000500060,ZLIE,,Bolaños-Salcedo S.A.S.,BOLAÑOS-SALCEDO,873130428-3,,CO,BOG,11001,Calle 127 # 52-90 Sur,6017601114,proveedores@bolaños-salcedo.test,P852,SAS,,2022-01-15
0000500061,ZLIE,,Sánchez PLC S.A.,SÁNCHEZ PLC,869202292-4,,CO,VAL,76001,Transversal 46 # 70-7,6011156779,proveedores@sánchez.test,I551,SA,,2022-01-15
0000500062,ZLIE,,Rojas Flórez and Rodríguez Ltda.,ROJAS FLÓREZ AND RODRÍGUEZ,896192817-4,,CO,BOG,11001,Carrera 53 # 5-5 Sur,6016127328,proveedores@rojas.test,G471,LTDA,,2022-01-15
0000500063,ZLIE,,Fundación Posada LLC,POSADA LLC,813204252-5,,CO,CUN,25286,Cl. 87 # 19-32 Este,6015101715,proveedores@posada.test,G471,ESAL,,2022-01-15
0000500064,ZLIE,,Fundación Bautista-Sánchez,BAUTISTA-SÁNCHEZ,854108364-1,,CO,ANT,05001,Carrera 199N Bis # 1-2 Este,6012046221,proveedores@bautista-sánchez.test,Q861,ESAL,,2022-01-15
0000500065,ZLIE,,Fundación Niño-Martínez,NIÑO-MARTÍNEZ,835495268-1,,CO,CUN,25286,Calle 1N # 5-75 Este,6016616321,proveedores@niño-martínez.test,G471,ESAL,,2022-01-15
0000500066,ZLIE,,Forero Moreno and Pérez S.A.,FORERO MORENO AND PÉREZ,883427820-0,,CO,CUN,25286,Cl. 94 # 90-45,6013297547,proveedores@forero.test,I551,SA,,2022-01-15
0000500067,ZLIE,,Ávila-Mosquera S.A.,ÁVILA-MOSQUERA,810065805-1,,CO,ANT,05001,Transversal 95 # 7-74 Sur,6014502288,proveedores@ávila-mosquera.test,G471,SA,,2022-01-15
0000500068,ZLIE,,López Arrieta and Ramírez S.A.,LÓPEZ ARRIETA AND RAMÍREZ,889513514-1,,CO,VAL,76001,Dg. 5ª # 2O-8 Este,6012864033,proveedores@lópez.test,I551,SA,,2022-01-15
0000500069,ZLIE,,Martínez LLC Ltda.,MARTÍNEZ LLC,867460203-7,,CO,CUN,25754,Avenida Sofía Rocío Hernández Blanco # 72-6 Sur,6015008983,proveedores@martínez.test,I551,LTDA,,2022-01-15
0000500070,ZLIE,,Rojas-Prieto S.A.S.,ROJAS-PRIETO,816705096-3,,CO,CUN,25286,Calle 136 # 5-2 Este,6013680910,proveedores@rojas-prieto.test,G471,SAS,,2022-01-15
0000500071,ZLIE,,Ramírez Benavides and Alzate Ltda.,RAMÍREZ BENAVIDES AND ALZATE,891250272-1,,CO,ANT,05001,Cl. 86 # 8W-89 Sur,6017669921,proveedores@ramírez.test,K649,LTDA,,2022-01-15
0000500072,ZLIE,,Castro LLC S.A.,CASTRO LLC,832253784-1,,CO,BOG,11001,Cl. 17 # 3-1 Sur,6011583226,proveedores@castro.test,P852,SA,,2022-01-15
0000500073,ZLIE,,Gómez Inc Ltda.,GÓMEZ INC,844067749-8,,CO,VAL,76001,Dg. 9Q # 7T-16,6014238026,proveedores@gómez.test,I551,LTDA,,2022-01-15
0000500074,ZLIE,,Gómez PLC S.A.S.,GÓMEZ PLC,843586158-8,,CO,ANT,05001,Calle 3ª # 51-17,6019742151,proveedores@gómez.test,G471,SAS,,2022-01-15
0000500075,ZLIE,,Forero PLC S.A.,FORERO PLC,829161052-0,,CO,ANT,05001,Diagonal 70 # 8-68 Este,6011521638,proveedores@forero.test,G471,SA,,2022-01-15
0000500076,ZLIE,,Sandoval Jiménez and Suárez S.A.S.,SANDOVAL JIMÉNEZ AND SUÁREZ,817233272-0,,CO,VAL,76001,Cr. 15V # 91-4 Sur,6013401154,proveedores@sandoval.test,K649,SAS,,2022-01-15
0000500077,ZLIE,,Camacho Ríos and Martínez S.A.S.,CAMACHO RÍOS AND MARTÍNEZ,822113011-9,,CO,BOG,11001,Cl. 84 # 87R-88 Sur,6018516929,proveedores@camacho.test,K649,SAS,,2022-01-15
0000500078,ZLIE,,Ballesteros LLC S.A.,BALLESTEROS LLC,819470571-0,,CO,BOG,11001,Calle 84 # 2-99,6018034168,proveedores@ballesteros.test,P852,SA,,2022-01-15
0000500079,ZLIE,,Sánchez Inc Ltda.,SÁNCHEZ INC,848302219-9,,CO,BOG,11001,Tr. 66F # 8-73 Sur,6011747507,proveedores@sánchez.test,K649,LTDA,,2022-01-15
0000500080,ZLIE,,Castillo Tovar and Beltrán S.A.,CASTILLO TOVAR AND BELTRÁN,865292911-5,,CO,ANT,05001,Calle 7A # 2-81 Sur,6019998866,proveedores@castillo.test,K649,SA,,2022-01-15
0000500081,ZLIE,,Parada and Sons S.A.S.,PARADA AND SONS,820736319-8,,CO,VAL,76001,Carrera 7ª # 75-47 Sur,6017562399,proveedores@parada.test,K649,SAS,,2022-01-15
0000500082,ZLIE,,Castrillón-Zapata Ltda.,CASTRILLÓN-ZAPATA,871352697-3,,CO,VAL,76001,Avenida carrera 3ª # 6-8 Sur,6019487147,proveedores@castrillón-zapata.test,Q861,LTDA,,2022-01-15
0000500083,ZLIE,,Pérez Díaz and Delgado S.A.,PÉREZ DÍAZ AND DELGADO,857969545-0,,CO,BOG,11001,Cr. 140E Bis H # 24-2 Sur,6013253261,proveedores@pérez.test,G471,SA,,2022-01-15
0000500084,ZLIE,,Fundación Triana Ltd,TRIANA LTD,877512877-1,,CO,ANT,05001,Carrera 58 # 9-32 Sur,6013372460,proveedores@triana.test,G471,ESAL,,2022-01-15
0000500085,ZLIE,,Fundación Camargo Marín and Erazo,CAMARGO MARÍN AND ERAZO,846743442-1,,CO,VAL,76001,Cr. 37 # 6-51 Sur,6011738065,proveedores@camargo.test,G471,ESAL,,2022-01-15
0000500086,ZLIE,,Fundación Mora Barragán and López,MORA BARRAGÁN AND LÓPEZ,899186067-3,,CO,BOG,11001,Calle 26 Bis # 8-8 Este,6013037863,proveedores@mora.test,Q861,ESAL,,2022-01-15
0000500087,ZLIE,,Cruz-Ramírez S.A.S.,CRUZ-RAMÍREZ,855297328-7,,CO,CUN,25754,Carrera 126 # 4-80 Este,6012982129,proveedores@cruz-ramírez.test,P852,SAS,,2022-01-15
0000500088,ZLIE,,Rivera-Benavides S.A.,RIVERA-BENAVIDES,857351885-6,,CO,CUN,25754,Calle 6ª # 7-69,6013121661,proveedores@rivera-benavides.test,I551,SA,,2022-01-15
0000500089,ZLIE,,Trujillo Salazar and Suárez Ltda.,TRUJILLO SALAZAR AND SUÁREZ,823288412-3,,CO,VAL,76001,Carrera 61 # 1-87,6011710231,proveedores@trujillo.test,K649,LTDA,,2022-01-15
0000500090,ZLIE,,Pardo-Cuéllar S.A.,PARDO-CUÉLLAR,870998241-8,,CO,BOG,11001,Calle 20K Bis B # 35B-8 Este,6016376499,proveedores@pardo-cuéllar.test,K649,SA,,2022-01-15
0000500091,ZLIE,,Villamizar Romero and Martínez Ltda.,VILLAMIZAR ROMERO AND MARTÍNEZ,866210712-9,,CO,ANT,05001,Dg. 22 # 1-3 Este,6015128819,proveedores@villamizar.test,G471,LTDA,,2022-01-15
0000500092,ZLIE,,Bolívar-Ardila S.A.S.,BOLÍVAR-ARDILA,818730184-6,,CO,ANT,05001,Carrera 46 # 71P-7,6015717107,proveedores@bolívar-ardila.test,K649,SAS,,2022-01-15
0000500093,ZLIE,,Valencia-Sánchez S.A.,VALENCIA-SÁNCHEZ,836543285-5,,CO,VAL,76001,Diagonal 14 # 56-10,6013109723,proveedores@valencia-sánchez.test,I551,SA,,2022-01-15
0000500094,ZLIE,,Oviedo López and Gil Ltda.,OVIEDO LÓPEZ AND GIL,811277682-4,,CO,CUN,25754,Cr. 67 # 6-13 Sur,6017491239,proveedores@oviedo.test,I551,LTDA,,2022-01-15
0000500095,ZLIE,,Torres-Chaparro S.A.,TORRES-CHAPARRO,887174847-6,,CO,BOG,11001,Carrera 89Q # 24-5 Este,6018956474,proveedores@torres-chaparro.test,I551,SA,,2022-01-15
0000500096,ZLIE,,Zuluaga Bustamante and Díaz Ltda.,ZULUAGA BUSTAMANTE AND DÍAZ,897705550-0,,CO,VAL,76001,Av. Boyacá # 9E-32 Este,6011724354,proveedores@zuluaga.test,Q861,LTDA,,2022-01-15
0000500097,ZLIE,,Fundación López-Camacho,LÓPEZ-CAMACHO,880053774-2,,CO,VAL,76001,Calle 98 # 5-67 Sur,6013847218,proveedores@lópez-camacho.test,Q861,ESAL,,2022-01-15
0000500098,ZLIE,,Fundación González Correa and Rodríguez,GONZÁLEZ CORREA AND RODRÍGUEZ,867731970-1,,CO,CUN,25286,Calle 1C Bis # 42-58 Este,6018955614,proveedores@gonzález.test,I551,ESAL,,2022-01-15
0000500099,ZLIE,,García PLC Ltda.,GARCÍA PLC,840773382-2,,CO,CUN,25286,Avenida carrera 125 # 4K-7 Este,6014473232,proveedores@garcía.test,I551,LTDA,,2022-01-15
0000500100,ZLIE,,León Castillo and Martínez S.A.S.,LEÓN CASTILLO AND MARTÍNEZ,856047460-3,,CO,VAL,76001,Cl. 45H Bis T # 19T-6,6014734349,proveedores@león.test,K649,SAS,,2022-01-15
0000500101,ZLIE,,La Espiga S.A.S.,LA ESPIGA,857049789-3,,CO,CUN,25754,Carrera 89 # 9H-81 Este,6012609193,proveedores@la.test,I551,SAS,,2022-01-15
0000500102,ZLIE,,García Bermúdez and Vásquez Ltda.,GARCÍA BERMÚDEZ AND VÁSQUEZ,855013468-2,,CO,BOG,11001,Av. carrera 118 # 60M-7,6019002260,proveedores@garcía.test,I551,LTDA,,2022-01-15
